budget,duration_planned,material_cost_index,weather_delay_days,labor_skill_rating,site_access_rating,project_complexity_rating,contract_type,trend,overrun_flag
2122475,13,1.4296374860638315,9,3,4,2,0,1,0
2479622,13,1.0183670782259893,6,2,4,2,1,-1,0
6164227,60,1.0191060028983543,9,4,4,5,0,1,0
4017502,30,0.9589533033405383,13,3,5,4,0,1,1
1135037,12,1.3690434829232687,9,4,2,2,0,-1,0
3970689,24,0.9726422106678809,13,3,5,4,0,0,1
2594620,12,1.311148858103794,7,4,4,2,0,1,1
2177845,12,1.0543869005826774,7,1,3,4,0,0,1
4718520,57,0.7,9,3,2,4,1,-1,1
6068364,49,1.0074214830533834,9,3,1,4,0,0,0
5715932,37,0.8552229464092879,9,4,5,4,0,-1,0
1975771,15,1.1584756809205843,10,5,2,2,0,1,1
2715461,13,0.8523980660813774,6,3,3,4,0,-1,1
3987831,20,1.381493775178654,7,4,2,2,1,-1,0
5869776,36,1.1272310349117431,8,4,5,3,0,0,0
2452198,19,1.1056010013103152,3,5,4,5,1,0,0
2924413,27,1.3139730344468956,12,4,1,4,0,1,0
1683186,19,1.3909767335189656,13,1,4,5,1,-1,1
1594827,12,1.144975312057587,11,4,4,2,0,-1,1
5322829,40,0.9571999251126773,10,3,5,3,0,0,0
7376014,43,0.7065075959719676,10,1,4,2,1,1,1
3130783,18,0.9784875607412049,9,2,4,4,0,0,0
5969177,60,0.9956969383380095,7,5,5,2,0,0,1
4061169,31,1.1767643632480742,8,5,5,2,1,0,0
2219801,22,1.0637132797154931,13,4,3,3,0,0,1
4060583,43,1.3219832430128569,18,5,4,4,0,0,1
8226094,42,0.9967541821823276,15,4,2,2,0,0,0
3199497,41,1.1357397082867644,12,1,1,5,1,1,1
8358472,60,1.4459968607992222,7,2,1,2,1,1,0
678848,7,1.2354563034887416,12,1,5,1,0,1,0
5352859,26,1.1349906145778588,13,1,5,3,0,0,1
3444289,22,0.9995138895162057,13,2,3,5,0,0,0
2732139,26,0.9916921508212556,6,3,4,2,0,-1,0
3454044,23,0.9373466867620129,9,4,5,2,1,1,1
991980,6,1.0147482835542752,13,4,5,4,0,0,0
2865337,13,1.3389164596860785,8,3,1,3,0,1,0
4050162,39,1.0945279321769328,8,5,4,4,1,0,0
7934543,39,0.8125567326546921,13,3,3,3,1,1,1
2395345,11,1.5920423232649457,11,4,5,3,1,0,0
2012531,9,1.2299912977862906,12,3,5,3,1,0,1
2419195,14,0.7982641498717076,7,2,5,3,1,0,0
5661736,34,1.039537768189794,10,5,1,4,0,1,0
3981824,30,1.1777215957071043,17,3,5,4,0,1,0
2378888,13,1.5761480233243441,12,3,5,4,0,1,1
4447979,29,0.8729718854352826,14,3,1,5,0,-1,1
3465080,20,1.3940101798389866,7,4,5,3,1,1,0
5845525,43,1.4998716067430857,9,5,4,3,0,0,0
2145253,11,0.9928364237313574,11,1,4,4,0,0,1
2685567,13,1.0806215952849416,14,4,1,4,0,-1,1
2583705,28,0.8909226881565573,14,1,4,1,0,-1,1
1358499,6,1.0991347147299237,6,3,3,4,1,-1,0
3904624,25,1.1408525064142672,16,2,5,3,1,1,1
3823333,19,1.3149124995205925,10,4,3,4,0,0,0
3279062,24,1.4225458677551117,11,1,4,5,0,-1,1
2839810,22,0.9629759838445882,8,3,1,4,1,0,0
1398313,6,0.7,12,2,1,1,1,0,0
2539842,23,1.1446888051809394,13,2,3,4,0,-1,1
2661422,13,1.22338438249216,17,4,4,4,1,-1,0
2020051,14,1.2123544219212603,5,2,5,3,1,-1,0
2967494,20,1.068331688122739,10,2,4,3,1,0,0
4165848,35,1.1811880249159836,4,2,4,5,1,-1,1
10137090,60,1.5288612020880619,11,3,1,3,1,0,1
3630012,30,1.2454335422406273,15,4,2,3,0,-1,0
3815301,50,1.0566578937492288,9,1,5,3,1,-1,0
3126211,28,1.0249505457260009,9,2,5,4,1,0,1
1033784,14,1.1075369105805672,9,3,1,5,1,-1,0
3217424,14,1.5591849904576598,10,3,4,4,1,-1,1
3389314,15,1.1041748226184507,3,4,1,3,0,0,0
14331138,60,1.145051413869823,13,4,4,4,0,0,1
2912677,16,1.0294216072659241,14,3,2,4,0,1,1
3917359,32,1.424745839360491,14,3,2,4,1,-1,1
3201637,18,1.6399593136861688,11,4,3,2,0,1,0
1621388,8,1.262653262357847,4,4,4,4,0,1,0
6489484,30,1.1706932259463563,6,3,1,3,0,1,1
5132789,39,1.1591957082935587,10,4,1,1,1,0,1
5254624,28,0.7,13,4,1,4,1,1,1
1894314,17,1.3362877160712043,11,3,3,5,1,-1,1
7584950,34,1.1835416039989608,10,3,5,3,1,-1,0
1409702,19,1.2570855126651812,14,4,1,5,0,-1,1
4648774,28,0.9721344514790737,14,2,2,2,1,1,0
12167431,60,1.053885780255727,5,4,1,4,0,0,0
1804290,10,1.0472437658742066,11,4,1,2,0,1,0
2327304,26,1.4054057460182596,12,4,1,3,1,0,0
3470436,16,1.0553100408492266,8,3,5,4,1,1,0
2416702,24,1.6706650805274492,12,2,1,4,1,1,1
1289289,7,1.2577156047537592,14,1,5,4,0,1,1
3406301,32,0.831079335001067,14,4,5,4,0,0,0
1728246,14,1.1178634266870107,7,4,3,4,0,1,0
4343345,28,0.987081219460896,9,4,2,5,0,1,1
1882940,14,0.7,15,2,1,3,0,0,1
8285028,60,1.5498677350284473,11,5,1,3,0,0,0
2043241,21,1.3257856355550008,8,5,1,2,0,1,0
2694607,20,1.283301829474828,8,3,5,3,1,0,0
5325996,29,1.191350915074926,7,3,4,4,1,1,1
1562005,7,0.8044956078268906,9,4,2,1,1,-1,0
3747037,45,1.0290957151111408,10,4,1,2,1,0,0
7161898,55,1.3604451936960031,8,5,4,2,0,-1,0
1246076,14,0.8871949925543743,10,2,4,4,1,0,0
3651980,50,0.7,15,3,4,3,0,0,0
3820644,22,1.0932234980547684,6,4,2,2,0,1,0
5225670,32,1.1145606114931152,11,4,4,4,0,-1,1
1556312,16,1.1838908541036772,7,4,1,4,0,1,1
1480256,14,1.332129660878634,12,5,1,3,1,1,0
4471189,60,1.309401453057802,16,3,3,4,0,0,1
3906650,20,1.2146924513109802,10,4,5,2,1,0,0
3799179,17,1.4488828470216772,12,3,4,5,1,0,0
4024329,44,0.7702575547966712,14,3,5,3,0,0,0
2173795,20,1.2761454536193475,8,2,5,5,0,-1,0
3757829,18,1.3066345908342356,2,4,5,5,1,0,1
3897490,18,0.84010942847994,14,5,5,4,0,1,1
2129481,16,0.7742823478294025,12,2,5,1,0,-1,0
10013699,60,0.9635144683810996,14,1,1,4,1,0,1
4343972,57,0.984614639371177,14,4,2,2,1,1,0
1599526,10,1.3383548658756075,7,3,4,5,1,1,1
4847298,37,0.9963653040772262,10,5,4,4,0,1,0
1821536,24,0.935912870429699,11,2,1,5,0,1,1
5242194,33,0.9970915658263602,12,1,1,4,0,0,1
6551190,60,1.4296580835385528,10,3,5,4,0,1,0
1997866,10,1.153260843594238,18,1,2,4,0,1,1
5827074,50,1.105187243660772,12,2,4,3,0,0,1
4187726,55,1.122498625324737,15,2,3,3,1,0,1
5353366,33,1.4730150835816307,10,2,1,4,1,0,0
10201810,60,0.9627070683491894,6,2,3,5,1,0,1
2821465,13,1.4788770727350258,14,5,4,4,1,0,0
2079750,13,1.2026240747303758,8,2,1,5,0,0,1
1917037,17,1.109895154506163,9,3,4,5,0,0,1
2003715,11,1.7752251244835704,11,4,1,4,1,0,1
3121233,28,0.8860901275503508,11,4,4,3,1,-1,1
4011561,19,1.0615785601082484,9,3,3,4,0,1,1
3859369,30,0.8418921902089999,9,4,2,3,0,-1,0
5369846,35,1.3881154926340422,11,4,1,2,1,-1,1
3294619,42,1.5722972334129197,13,4,3,3,0,0,1
7819416,58,1.5674806953511595,3,3,4,5,0,0,1
2789034,14,1.455987188286501,10,4,3,1,0,-1,0
16719754,60,1.1005948830510086,8,3,1,4,1,0,0
4758297,45,1.0586897556275383,9,2,3,5,0,1,0
1954618,18,0.7322075568764836,8,4,4,4,1,0,1
1719363,8,1.658968383795448,9,3,5,4,0,0,0
4366548,20,1.267244519537117,6,5,2,4,0,-1,0
2858828,33,1.027010773782629,9,1,2,3,1,0,0
5017288,36,1.4820142222467418,12,3,5,2,0,1,1
4342420,36,0.9068088708099997,15,5,1,5,0,0,0
3129246,15,1.2516555085556684,9,2,3,3,0,1,1
1966810,23,1.1068427164272912,10,5,3,4,1,0,1
1317295,12,1.309669284970075,8,5,5,4,0,1,1
2500724,13,1.1341066152034696,13,4,5,2,0,1,0
5464806,60,0.7872680272221939,12,3,4,5,1,1,1
3717107,25,1.1688940931675094,13,3,4,4,0,1,0
1548127,11,1.4122160354688404,8,4,2,2,0,0,0
3626971,30,1.1426958985365037,11,4,1,5,1,1,1
4119286,31,1.3437787803972714,16,3,1,4,0,0,1
1923554,12,0.8886176285814866,13,5,5,3,0,1,0
3584878,38,1.1434348016825369,12,4,2,4,1,-1,0
3385205,21,0.9938723862278556,9,5,2,2,1,0,0
1646591,8,1.3367452100261774,14,1,4,4,0,1,1
4051802,22,1.157872890565499,9,2,3,2,0,-1,0
4576617,49,1.322518419084153,13,3,1,4,1,0,1
6260876,60,1.4219276065394664,8,3,2,4,0,1,1
6151959,55,1.3229046437803471,11,4,4,5,0,0,1
1430305,11,1.2182796085734109,8,2,4,4,0,0,0
1862266,14,0.9004469353721486,7,5,4,3,1,0,1
4452699,25,1.1493034723332747,10,3,3,5,0,0,1
4449363,56,1.0167273994960415,9,3,2,4,1,-1,1
4452732,59,1.0639840108239433,14,2,5,4,1,-1,0
32987487,60,1.0563664623124371,16,3,5,2,0,-1,0
4604452,26,0.9050186063044388,12,1,4,5,0,0,0
6461288,60,0.7,7,2,4,5,1,0,0
5794391,34,0.9829642379180582,8,4,3,4,0,1,0
4832307,44,1.1983448629810396,4,2,4,5,0,0,0
2705611,13,0.8129557386431274,10,2,2,3,1,1,1
5154504,25,1.153920559117906,16,4,4,5,0,-1,0
2056065,17,1.625067106077741,16,1,4,3,0,0,0
2836010,27,1.4057641388130597,11,3,2,2,0,0,0
2443108,18,1.5608853772801323,13,1,1,4,0,1,0
3433615,32,1.2477819692331815,5,3,5,4,0,1,0
13108810,60,1.4418774557466114,8,4,4,3,1,1,1
1066231,6,0.9690088173830531,11,1,2,1,1,-1,1
4934471,28,0.9889149332445039,7,4,5,2,0,1,0
1242170,6,0.7,6,5,3,3,0,0,1
2462877,19,1.4465363685105745,14,2,1,2,0,1,0
6283076,60,1.5350809949549715,7,5,4,2,0,0,1
3397559,18,1.0117056886631823,11,2,1,3,0,0,1
1712308,13,1.0865120734006912,13,1,4,5,0,-1,0
2128265,12,0.9615344715772596,6,1,4,4,1,0,0
4914785,44,1.2456633878693728,12,3,4,3,0,0,0
2109117,25,1.4312331363258102,14,3,1,5,0,-1,0
3722385,17,0.7143070065297397,9,3,3,4,0,-1,0
3359635,35,1.252359632660563,9,4,2,3,0,1,0
2211186,10,1.0808320570702135,4,4,2,3,1,0,0
11832569,54,1.1783485979916724,9,3,3,3,0,1,0
4781913,25,1.2647485004185726,8,4,3,3,1,1,1
969867,6,1.1029493903067946,13,5,4,3,0,1,0
3655972,23,1.1241032866485547,5,1,4,4,1,1,0
2197713,10,1.09653120811134,7,3,2,4,1,1,1
5451819,48,1.3925790504470703,10,3,4,4,0,0,0
2031911,14,1.254689990031874,10,3,4,3,0,-1,0
3051543,18,1.2051458844343401,6,3,3,4,1,0,0
4425936,33,0.8322620697269292,7,3,1,4,0,0,1
5495571,40,1.0553550641967113,10,4,5,5,1,-1,1
1590918,13,1.3746672900847934,9,3,5,3,0,0,1
2674570,17,1.1594241432809806,10,3,4,5,0,0,1
2458428,12,1.3148828673972845,15,2,4,5,0,1,1
2208893,22,1.5916279500819084,8,3,5,4,1,0,0
9428735,44,1.409651517302204,11,3,3,4,0,0,1
4168175,24,1.1732895844249356,12,3,5,2,0,0,0
1534123,7,1.022252707451068,16,5,5,5,0,0,1
5670099,36,0.7,6,3,5,2,0,1,0
11678892,60,1.1079037693817868,11,1,4,4,0,-1,1
6073703,60,1.0684968760457876,6,3,4,3,0,0,0
1313726,6,1.2475915485988438,8,4,5,3,1,0,0
2444764,32,1.111523693256328,8,4,4,4,1,0,1
6991087,34,1.0699037351408014,19,3,5,5,0,0,1
2138036,9,0.7051502673731948,14,2,3,3,0,0,1
4266445,37,0.9150080427124833,17,3,4,5,0,0,0
5203179,51,1.2691627602001392,9,3,1,4,1,0,0
1874479,10,1.5789769077831735,11,5,4,2,0,1,0
3154324,29,1.125618654063594,10,3,3,2,0,0,1
467539,6,1.2319527683935307,2,4,3,4,0,0,1
1768013,20,1.3881195392382013,10,3,4,2,1,0,1
2809337,31,0.9472765159499374,12,3,2,3,1,-1,1
1546229,7,1.2417035108213605,9,4,5,2,0,1,1
8705336,50,0.9648774734169603,10,3,5,3,0,0,1
1385976,7,1.3662061096227527,17,5,3,4,0,1,1
2510451,21,1.187850761987933,12,3,4,3,0,0,1
3535779,20,1.2246129534953598,5,1,2,2,0,1,0
7762103,48,0.9543503506453527,11,4,1,3,1,0,0
1381226,8,1.326758089902696,9,1,5,3,0,-1,0
6569171,38,1.671178230307754,11,2,2,2,1,-1,0
3289150,21,0.8980220761429484,7,3,5,4,0,0,1
1814090,13,1.065060248088119,17,4,4,4,1,0,0
4313508,38,1.2079018685420229,9,3,5,2,0,0,0
3683727,19,1.3466015529989541,14,1,1,3,0,1,1
2280419,21,1.0101134286776328,14,3,4,3,1,0,1
3408835,19,0.7,14,3,3,3,0,0,0
2594259,24,1.4897973735410062,6,5,2,4,0,1,0
3499429,21,1.3401265298960356,8,3,5,3,1,0,1
4863546,26,0.7142631173783336,14,4,4,3,0,1,1
8466350,60,0.998107802055111,9,2,4,4,0,0,0
1555504,19,1.5420456073818314,9,4,5,2,1,0,1
11755361,60,1.5119491046144664,9,4,3,4,1,-1,0
1013324,6,1.384660005669736,17,5,5,4,1,1,1
2984458,15,1.1059718915100343,9,1,3,3,0,1,0
4652849,60,1.1707468547031274,8,3,5,4,1,1,1
3869342,21,1.1172685487184684,13,4,4,4,1,0,1
2249863,18,1.4320599458172092,13,1,1,3,1,1,0
2885263,20,0.9310393983762224,13,3,1,4,1,0,1
2431938,11,0.9485500862789488,13,5,4,5,0,0,1
2295316,19,1.4025686467090037,7,3,1,5,0,1,0
5442566,38,1.1389096361221096,16,5,3,4,1,-1,1
4049926,56,1.494616838863452,13,1,4,5,1,0,1
2157054,26,0.9821219482548635,15,4,3,1,0,0,0
5608309,51,1.1363054099152936,12,3,4,4,1,1,0
3930902,52,0.9193967537890115,7,3,3,3,1,0,0
5323903,32,1.1518406703558917,9,5,3,2,1,0,0
4769620,35,0.7803632657503001,11,2,1,4,1,1,1
1987927,13,1.0280916447612591,8,4,4,4,1,0,1
2335861,24,0.7909365337679705,11,4,5,3,1,0,0
5118521,44,1.3234808082978144,13,2,1,4,1,0,0
4714824,27,1.3291473349399128,8,5,3,3,0,1,0
3228276,15,0.7174343173789137,6,3,3,3,0,-1,0
3507438,45,1.4834714363751431,14,4,5,3,0,0,0
7036341,34,1.7743537816049635,14,3,5,3,0,-1,1
2292279,14,1.1615015966840851,7,4,3,3,0,0,0
4539186,29,0.9897214349438387,10,3,5,4,1,0,0
2895546,19,1.8560826477507615,5,2,2,2,1,0,1
2868762,35,0.8202578754243722,4,3,1,2,0,0,1
6320229,60,1.1550266167172745,9,2,4,4,1,1,0
5364157,33,1.1949055681579808,16,3,5,4,0,1,1
5325971,43,1.4862869051131036,13,2,5,3,0,1,0
7154751,34,1.239934743781697,12,1,2,2,1,0,0
3310475,25,1.025341526052887,16,2,4,3,0,-1,0
4921735,53,0.9122039074030108,14,3,2,4,1,0,1
2713744,15,1.064544544938466,5,3,4,5,0,1,0
3970886,34,0.8982681597637139,7,3,1,4,0,0,0
3023465,20,1.1619563299461706,13,2,5,2,1,1,0
3464911,19,1.0089509550348783,8,4,1,4,0,-1,0
4671983,22,0.7764905516775622,7,4,4,3,1,0,0
2000819,10,1.4637864470937259,10,3,5,3,0,0,1
11472143,60,1.02558186914274,15,4,2,2,0,0,0
1787609,10,0.8329657987561718,6,3,3,4,1,0,0
1577712,7,1.1079352163781144,9,4,2,4,1,0,0
6549285,57,1.1670928914919145,7,2,3,4,0,0,1
5256613,60,0.7133833186052415,11,1,2,4,0,0,1
4753880,42,1.2329119167814406,12,4,4,3,1,-1,0
4765949,46,0.8882106078274338,6,4,1,3,0,1,0
3245084,19,1.577757202297697,4,2,3,4,0,0,0
1908155,11,1.2809901280191835,12,3,4,4,1,0,1
3421134,21,1.0500250024726707,11,4,1,4,0,0,0
2177532,30,0.9637080574206622,8,4,1,3,0,1,1
5868278,32,1.123758073109094,11,4,5,4,0,0,1
2992936,25,1.3031976853958223,10,2,5,3,1,1,1
1992103,11,1.1436264678537,6,3,5,4,1,0,1
2695700,17,1.0957102982157858,8,1,3,3,1,0,1
4188104,34,1.164592572704474,13,3,3,5,0,0,0
2330900,25,0.9990352671907612,16,1,1,2,0,0,1
1996024,23,1.0641985182892404,9,4,3,4,0,0,1
3783697,19,0.7,10,3,1,4,0,0,1
3786603,18,1.3934315577130918,8,4,4,2,0,0,0
2411679,14,1.2246994450804405,12,1,2,2,0,0,1
2464198,28,0.9566360389916424,10,2,1,4,1,1,0
3757370,28,1.6246837453388097,14,2,1,2,1,0,1
1371134,7,1.1717541200980965,8,3,4,2,0,0,1
1404963,7,0.8909641070062007,14,4,5,5,1,1,0
2124258,24,1.3641843553676145,12,3,5,4,1,0,1
2876059,41,1.2495120541273155,9,2,5,3,0,-1,0
3939421,22,1.2486449963710546,12,1,1,4,0,1,0
7922471,60,1.0435610988371022,7,1,1,4,1,0,1
5468942,50,1.2626239309445086,11,4,3,5,0,1,1
2969894,41,1.0845604274447262,10,3,3,4,0,-1,0
3231930,21,1.2889853629114605,20,4,2,5,0,-1,0
1791354,9,0.7,15,4,2,3,0,-1,1
3232906,15,1.0415316342552026,9,2,3,4,1,0,1
2749156,17,1.5805387744520485,15,2,1,1,1,-1,0
3967438,26,0.9582331361499248,11,4,4,2,0,-1,0
1990032,24,0.9990404256267033,14,4,3,4,1,1,1
4464232,29,1.0380096653875062,13,3,1,1,1,1,1
8199988,60,0.8462984660278391,9,1,3,4,1,1,1
3062505,19,0.7,13,1,5,5,0,1,1
4160005,32,1.0923534003690967,11,2,3,3,0,0,1
4945983,46,1.1839648560204141,6,1,5,1,0,1,1
2569617,30,1.1368737328653369,9,2,1,4,0,0,0
3739473,31,1.1137803595130282,14,3,5,5,0,0,1
3293809,38,1.1607602177125969,13,2,3,4,0,1,1
3466325,35,1.405710367887691,8,2,5,4,0,0,1
2055838,9,1.1023884535176958,5,4,4,3,0,1,1
3317447,24,1.0064793557281826,13,3,5,1,1,0,0
4407415,29,1.0797186287779783,5,5,5,4,0,-1,1
7808208,38,1.2948366899391939,11,3,2,3,1,-1,1
5812739,26,1.5030067196358123,9,4,4,5,1,-1,0
11898340,60,0.9929640652077053,13,2,1,3,0,1,1
2062834,10,1.1747334467572208,10,3,5,4,0,1,0
5517262,46,1.23458936048399,8,2,4,4,1,0,1
3649151,31,0.9018554983177942,10,1,1,4,0,0,1
12162667,60,1.1551042918032295,7,5,4,4,1,0,0
2012767,11,0.7835815356644762,9,3,2,5,1,1,1
1975173,11,0.7077374240651502,9,5,1,5,0,0,1
2281547,19,1.2416866019730641,8,3,1,5,0,1,0
914070,10,1.0540313146673042,15,3,5,5,0,0,1
2384612,14,1.2005701019053048,8,3,3,4,1,1,0
2073026,23,1.1455262557479124,15,4,1,4,1,0,0
3577719,22,0.9058999878340506,10,3,1,2,1,0,1
4013015,23,1.1386864245089159,4,5,2,3,0,0,0
10076358,57,0.8417246737462861,5,1,2,1,0,1,0
5781965,31,1.49774308950035,13,4,2,2,0,1,1
2312541,11,0.811007413785009,8,3,5,3,1,0,0
1906827,13,1.1010536822578545,8,2,1,2,0,0,0
4391368,24,0.8894321029881878,11,3,2,5,0,1,1
1480455,9,1.2926052933401988,10,3,2,5,1,1,1
9809631,60,1.0671421571796242,9,2,4,2,0,0,0
6633638,60,1.0203333200946973,8,2,4,3,0,-1,1
2466953,21,1.3633003862628885,8,3,2,5,0,-1,0
1169537,8,1.1573576479193879,9,3,5,5,0,1,1
7365543,45,1.2791611114839918,4,3,3,5,1,-1,0
3051903,15,0.9046685158706337,9,2,4,5,0,0,0
6870103,60,0.7987957640181231,11,1,4,5,0,0,0
1255875,14,1.1768019905100333,13,5,1,3,0,0,1
2281571,10,1.0702884111263171,11,5,1,3,0,0,0
3279318,38,1.306608668113486,12,3,2,4,0,0,1
3362476,23,1.1300228868343625,8,5,1,3,0,0,0
2495402,15,1.2012688348086573,8,4,1,5,1,1,1
4750260,31,0.7441543675146891,10,1,3,4,0,1,0
1722741,20,1.6221092349035642,6,2,5,4,1,-1,0
3001348,38,1.108939503741992,10,5,2,3,0,-1,0
3513690,40,1.3243967425847996,17,3,3,4,1,0,1
4451106,28,0.9409770824450933,4,4,2,4,0,1,0
5010112,33,1.2270024755543352,8,4,5,5,0,1,0
1664798,15,0.8242888091188136,8,3,2,3,1,1,1
1302155,7,1.2630169595649177,7,1,1,5,0,1,1
7036391,36,1.0610064789035416,15,2,5,5,0,0,0
3990345,52,1.1572976259838919,6,1,3,4,0,-1,0
2086311,14,1.3244935075325244,5,2,3,4,0,0,1
8291083,47,0.8418649221949299,6,3,4,4,0,1,0
3503961,32,0.9788770673468007,9,2,3,3,0,0,1
6633070,57,1.2643310702716912,14,2,4,2,1,1,0
3404167,21,1.6745553686366867,12,3,1,5,1,1,1
11256415,54,1.1154794163346295,7,3,3,4,1,1,1
9371694,48,1.297784029480983,7,3,5,3,0,-1,0
2815418,17,1.12325713253538,6,3,4,4,0,-1,0
5855796,32,1.6355613986890747,10,3,3,3,1,1,1
4814898,38,0.713194583258686,11,5,1,2,0,-1,0
7431058,44,1.1736552611673394,7,2,5,4,1,-1,0
1832232,13,0.7436139916094846,6,1,5,3,0,1,0
4933853,50,0.7,12,4,1,2,0,1,0
6169045,35,1.224365513279454,8,3,3,3,1,0,0
1137969,7,1.1848744490368646,9,4,2,4,1,1,0
1607265,12,1.0787907655644495,11,2,3,1,1,-1,0
961702,6,1.1234514774900617,12,4,4,3,1,0,0
2781096,38,1.9245748585178144,8,5,4,3,1,0,1
5027962,42,1.0854562154921412,13,3,3,1,0,1,0
8051864,60,1.2775310903125185,7,2,4,2,1,-1,0
3417626,18,0.9876587950965297,10,4,2,2,1,0,0
8685533,49,1.2238081437601507,12,4,2,2,1,0,0
1428219,11,1.0904415812360955,9,4,5,5,0,1,0
1176401,6,1.0473703793175675,15,1,4,3,1,0,1
3161861,24,1.604724633050081,12,4,3,2,0,0,1
4116193,22,1.4442962407960847,11,2,5,2,0,-1,1
3205514,23,1.1841866618498076,9,2,2,3,0,0,1
945562,7,0.7,7,3,5,4,0,0,0
3098807,14,1.0597476941868575,7,2,1,3,0,1,1
1494523,13,1.8257568911012707,6,4,4,2,1,0,1
4885604,55,1.0923345833400728,8,3,3,3,1,1,1
4073279,25,1.4258043930134146,12,2,2,4,0,0,1
1859972,8,1.5104856004881502,14,4,5,1,1,0,1
2401681,18,1.2047409789639936,9,5,3,4,0,0,0
1731453,21,0.9395445920329618,13,2,4,3,0,0,0
3148360,26,0.7,10,3,3,1,0,1,0
5798358,39,1.3210408021522386,7,3,4,4,1,1,1
1809505,19,0.9463109992941129,6,3,4,4,0,0,0
4423438,26,1.194037612971923,6,2,4,4,0,-1,1
2378178,10,0.8375449151026588,12,3,5,3,0,-1,0
2031482,14,1.0836906148824494,7,1,4,4,1,0,0
3065685,24,1.1584297637252632,7,5,3,3,1,1,0
1756536,13,1.2171483952610744,11,3,1,4,0,1,0
2345033,26,0.8712944531618964,13,3,3,4,0,0,1
1593228,7,1.449227737190338,15,3,5,2,1,-1,0
10626219,60,1.000776303817007,9,3,4,4,1,0,0
3338920,26,0.7313826348866885,13,3,1,4,0,1,0
2148251,12,1.122744145009134,6,3,5,3,1,0,0
3716853,27,1.158593827256615,9,3,2,5,1,0,0
3055956,18,1.1901473582929398,10,2,2,5,0,0,0
2863107,36,1.4905331009212697,11,2,2,2,0,-1,1
4725576,24,1.090887790816035,5,3,1,5,0,0,1
5149986,24,1.1200950939078071,14,4,3,3,1,1,1
2377831,14,0.8742039046917265,23,2,1,4,0,1,1
2314048,10,1.3551383757219742,8,1,1,5,0,0,1
2771693,29,1.1960772660195258,14,2,1,4,1,-1,0
821467,6,1.0449930681764592,11,5,2,3,1,0,0
1317024,8,0.7,10,4,3,5,0,1,1
7423227,47,1.5111030487637718,15,3,1,3,0,-1,1
8771168,60,0.8430800088859856,13,5,3,3,0,1,0
2815297,23,1.0021804976575734,5,3,4,3,1,1,0
4620133,51,1.2395861277690008,11,5,1,5,1,0,0
3940231,30,0.8508605178458283,8,2,1,5,0,0,1
20734892,60,0.7766225554367141,13,2,1,3,0,1,0
6399592,35,0.7,11,3,4,5,1,0,1
3027505,29,1.3302492382264088,10,3,4,3,0,-1,0
